source_id,target_id,source,target,weight
8,76,protein interaction network,machine learning,0.7006736397743225
8,119,protein interaction network,feature extraction,0.6996945142745972
8,157,protein interaction network,graph regression,0.724195659160614
8,158,protein interaction network,graph generation model,0.6845247149467468
8,169,protein interaction network,graph neural architecture,0.6937427520751953
8,219,protein interaction network,graph-level regression,0.6959830522537231
8,327,protein interaction network,graph representation learning,0.7070521116256714
9,14,hierarchical graph,directed graph,0.6048595905303955
9,15,hierarchical graph,hypergraph,0.6606789827346802
9,16,hierarchical graph,hyperedge,0.6279948353767395
9,18,hierarchical graph,heterogeneous graph,0.6509480476379395
9,33,hierarchical graph,subgraph,0.6446306109428406
9,35,hierarchical graph,proper subgraph,0.5484132766723633
9,121,hierarchical graph,graph-based features,0.6520749926567078
9,135,hierarchical graph,graph structure encoding,0.6376334428787231
9,224,hierarchical graph,hierarchical pooling,0.6330021023750305
9,293,hierarchical graph,node computational graph,0.6268982887268066
10,11,node embedding,edge embedding,0.8679862022399902
10,26,node embedding,annotated graph,0.7487338185310364
10,29,node embedding,feature matrix,0.8083481192588806
10,30,node embedding,embedding matrix,0.868377149105072
10,71,node embedding,node classification,0.7913142442703247
10,73,node embedding,dot product,0.6815797090530396
10,75,node embedding,representation learning,0.8066089749336243
10,100,node embedding,bias,0.679370641708374
10,103,node embedding,latent representation,0.7789685726165771
10,108,node embedding,feature embedding,0.7029730081558228
10,115,node embedding,node-based features,0.8048836588859558
10,131,node embedding,shallow node embedding,0.7867096662521362
10,134,node embedding,node labels,0.799130916595459
10,139,node embedding,embedding size,0.8050819635391235
10,140,node embedding,graph feature representation,0.8136618733406067
10,141,node embedding,graph feature embedding,0.888064980506897
10,145,node embedding,graph feature embedding method,0.8311931490898132
10,247,node embedding,node embedding computation graph,0.8182132840156555
10,292,node embedding,node representation capacity,0.7830941081047058
10,293,node embedding,node computational graph,0.7828619480133057
11,17,edge embedding,incidence matrix,0.7145113945007324
11,24,edge embedding,edge type,0.743502140045166
11,26,edge embedding,annotated graph,0.7476876974105835
11,30,edge embedding,embedding matrix,0.8273314237594604
11,38,edge embedding,edge set,0.7491540312767029
11,52,edge embedding,covariance matrix,0.7459959983825684
11,55,edge embedding,eigenvectors,0.7062112092971802
11,58,edge embedding,feature integration,0.7253587245941162
11,73,edge embedding,dot product,0.6903941631317139
11,75,edge embedding,representation learning,0.8209520578384399
11,108,edge embedding,feature embedding,0.7490180730819702
11,118,edge embedding,edge-based features,0.8665635585784912
11,133,edge embedding,self-supervised learning,0.6608973741531372
11,134,edge embedding,node labels,0.7965722680091858
11,135,edge embedding,graph structure encoding,0.7922386527061462
11,136,edge embedding,constrained embedding,0.7113959789276123
11,139,edge embedding,embedding size,0.7599531412124634
11,140,edge embedding,graph feature representation,0.8774285316467285
11,141,edge embedding,graph feature embedding,0.8972362279891968
11,144,edge embedding,graph feature representation method,0.8310260772705078
11,145,edge embedding,graph feature embedding method,0.8511149883270264
11,309,edge embedding,edge feature matrix,0.8189440369606018
11,327,edge embedding,graph representation learning,0.8393278121948242
11,380,edge embedding,edge attributes,0.8021515607833862
12,33,molecular graph,subgraph,0.6199253797531128
12,35,molecular graph,proper subgraph,0.5239214301109314
12,64,molecular graph,graph classification,0.7001267075538635
12,157,molecular graph,graph regression,0.6384276151657104
12,158,molecular graph,graph generation model,0.7018970251083374
12,337,molecular graph,molecular graph generation,0.7787014245986938
12,349,molecular graph,motif-sequence,0.6140977740287781
12,350,molecular graph,rule-sequence,0.6344236135482788
13,64,circuit graph,graph classification,0.6210664510726929
13,67,circuit graph,graph neural network,0.6214182376861572
13,129,circuit graph,connected nodes,0.6219080686569214
